Type,FMQ,P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Ce_div_Ce_asterisk,Eu_div_Eu_asterisk,Th_div_U,U_div_Yb
2,0.98,52.2,1.63,236.55,0.47,0.22,8.48,0.08,0.71,0.59,0.28,4.29,1.44,18.5,7.63,37.1,9.07,98.3,18.92,12790,0.51,,26.7,102.6,63.92,0.18,0.26,1.04
2,0.4,189,3.92,664.95,1.07,0.04,11.84,0.08,1.25,2.7,0.75,14.39,4.77,56,22.03,101.3,22.99,225,44,9500,0.57,,67.1,162.3,223.28,0.12,0.41,0.72
2,0.69,186.1,4.11,720.95,1.46,0.04,15.06,0.07,1.12,2.92,0.75,15.24,5.12,59.3,23.28,107.2,24.14,232.5,45.76,9410,0.6,,90,179.7,279.13,0.11,0.5,0.77
2,0.52,198,3.61,685.95,0.95,0.09,11.4,0.11,1.56,2.94,0.98,16.27,5.43,59.6,22.8,101.5,23,218,41.5,9030,0.49,,70.8,142.4,114.06,0.14,0.5,0.65
2,0.38,152.3,6.48,721.95,1.75,0.31,15.92,0.33,2.72,3.16,1.06,15.64,5.25,60.9,24.01,111.5,25.46,248.6,47.4,10250,0.69,,76.6,182.1,50.18,0.15,0.42,0.73
2,0.36,193,2.96,508.95,0.74,0.01,9.39,0.04,0.73,1.75,0.44,10.66,3.62,43.3,16.48,77,17.9,180.1,34.9,9880,0.42,,53.6,140.5,491.16,0.1,0.38,0.78
2,-0.07,357,6.08,1491.95,1.31,0.45,10,0.5,4.75,6.44,2.65,32.77,11.07,128.9,46.4,194.2,40.3,351.1,59.84,8800,0.69,,73.2,129,21.01,0.18,0.57,0.37
2,-2.1,83.5,4.95,402.95,0.33,0.01,2.92,0.07,0.84,1.72,0.72,8.59,2.92,35.4,13.46,63,15.66,170.5,33.46,10520,0.4,,53.3,139.7,136.89,0.19,0.38,0.82
2,-0.28,216,5.6,572.95,0.66,0.4,8.02,0.29,4.39,4.45,1.24,33.5,8.11,84,29.12,115.4,25.61,205.4,42.2,8290,0.42,,54.3,115,23.65,0.1,0.47,0.56
2,-1.09,161.1,5.02,494.95,0.72,0.33,6.13,0.3,3.05,2.54,1.01,8.56,3.08,39.5,16.01,80.7,20.6,233.1,48.9,9460,0.44,,78.9,188.8,19.27,0.22,0.42,0.81
